"Callsign","Frequency","City","State","Licensee","Format"
"WMUA","91.1 FM","Amherst","Massachusetts","NOBCO, Inc.","Other"
"WRNX","100.9 FM","Amherst","Massachusetts","Capstar TX LLC","Pop or Contemporary"
"WXRV","92.5 FM","Andover","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WSRO","650 AM","Ashland","Massachusetts","Muzzy Broadcast Group, LLC","Other"
"WFNX","99.9 FM","Athol","Massachusetts","Blanchard River Broadcasting Company","News and Talk"
"WVAO-LP","105.9 FM","Athol","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WARA","1320 AM","Attleboro","Massachusetts","New Hampshire Gospel Radio, Inc.","Religious"
"WLAS-LP","102.9 FM","Auburndale","Massachusetts","Blanchard River Broadcasting Company","Country"
"WWQZ","89.5 FM","Baptist Village","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WQRC","99.9 FM","Barnstable","Massachusetts","Capstar TX LLC","Country"
"WPMW","88.5 FM","Bayview","Massachusetts","Zoe Communications, Inc.","Country"
"WAIY-LP","107.7 FM","Belchertown","Massachusetts","LAZER BROADCASTING LLC","International"
"WBIX","1260 AM","Boston","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WBZ","1030 AM","Boston","Massachusetts","Garrison City Radio Group, LLC","Pop or Contemporary"
"WEEI","850 AM","Boston","Massachusetts","World Evangelistic Enterprise Corporation","Religious"
"WEZE","590 AM","Boston","Massachusetts","First Family Broadcasting","Other"
"WILD","1090 AM","Boston","Massachusetts","Living Bread Radio, Inc.","Religious"
"WMEX","1510 AM","Boston","Massachusetts","Muskingum College","Other"
"WRKO","680 AM","Boston","Massachusetts","Heartland Communications License, LLC","Oldies"
"WROL","950 AM","Boston","Massachusetts","Capstar TX LLC","Pop or Contemporary"
"WWDJ","1150 AM","Boston","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBCA-LP","102.9 FM","Boston","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WBMX","104.1 FM","Boston","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WBQT","96.9 FM","Boston","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WBZ-FM","98.5 FM","Boston","Massachusetts","Garrison City Radio Group, LLC","Pop or Contemporary"
"WERS","88.9 FM","Boston","Massachusetts","Blue Chip Broadcasting Licenses, Ltd.","News and Talk"
"WGBH","89.7 FM","Boston","Massachusetts","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WJMN","94.5 FM","Boston","Massachusetts","Christian Faith Broadcast, Inc.","Religious"
"WMJX","106.7 FM","Boston","Massachusetts","BAS Broadcasting","Country"
"WODS","103.3 FM","Boston","Massachusetts","CC Licenses, LLC","Other"
"WRBB","104.9 FM","Boston","Massachusetts","Wisconsin Rapids Seventh-Day Adventist Church","Religious"
"WUMB-FM","91.9 FM","Boston","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZLX","100.7 FM","Boston","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBMT","88.3 FM","Boxford","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WZAI","94.3 FM","Brewster","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBIM-FM","91.5 FM","Bridgewater","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WATD","1460 AM","Brockton","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WKAF","97.7 FM","Brockton","Massachusetts","Urban Radio Licenses, LLC","Pop or Contemporary"
"WACF-LP","98.1 FM","Brookfield","Massachusetts","LAZER BROADCASTING LLC","International"
"WUNR","1600 AM","Brookline","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBOS","92.9 FM","Brookline","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WHRB","95.3 FM","Cambridge","Massachusetts","Cumulus Licensing LLC","Pop or Contemporary"
"WMBR","88.1 FM","Cambridge","Massachusetts","Capstar TX LLC","News and Talk"
"WYQQ","90.1 FM","Charlton","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WFCC-FM","107.5 FM","Chatham","Massachusetts","First Family Broadcasting","Other"
"WACE","730 AM","Chicopee","Massachusetts","LAZER BROADCASTING LLC","International"
"WBNW","1120 AM","Concord","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WIQH","88.3 FM","Concord","Massachusetts","Citicasters Licenses, Inc.","Rock, Alternative, or Indie"
"WJNF","91.7 FM","Dalton","Massachusetts","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WAMG","890 AM","Dedham","Massachusetts","LAZER BROADCASTING LLC","International"
"WZBR","1410 AM","Dedham","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WNNZ-FM","91.7 FM","Deerfield","Massachusetts","Franklin Communications, Inc.","Other"
"WEII","96.3 FM","Dennis","Massachusetts","Childers Media Group LLC","Rock, Alternative, or Indie"
"WBPG-LP","102.9 FM","Dorchester","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WNRC-LP","97.5 FM","Dudley","Massachusetts","Tuscarawas Broadcasting Co.","Religious"
"WXRB","95.1 FM","Dudley","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZMR-LP","94.9 FM","East Boston","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZMW-LP","94.9 FM","East Boston","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYZX","88.3 FM","East Falmouth","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WKFY","98.7 FM","East Harwich","Massachusetts","Citicasters Licenses, Inc.","Pop or Contemporary"
"WLZX","1600 AM","East Longmeadow","Massachusetts","Citicasters Licenses, Inc.","Other"
"WWEI","105.5 FM","Easthampton","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WSHL-FM","91.3 FM","Easton","Massachusetts","Radio Plus Bay Cities, LLC","Pop or Contemporary"
"WMVY","88.7 FM","Edgartown","Massachusetts","Dean Miller Broadcasting Corp.","Pop or Contemporary"
"WKOX","1430 AM","Everett","Massachusetts","Jackson County Broadcasting, Inc.","Pop or Contemporary"
"WFHN","107.1 FM","Fairhaven","Massachusetts","Salem Media Group, LLC","Religious"
"WHTB","1400 AM","Fall River","Massachusetts","Sacred Heart Radio, Inc.","Religious"
"WSAR","1480 AM","Fall River","Massachusetts","WRVM, Inc.","Religious"
"WCIB","101.9 FM","Falmouth","Massachusetts","Citicasters Licenses, Inc.","Country"
"WFPB-FM","91.9 FM","Falmouth","Massachusetts","Our Lady of Guadalupe Radio, Inc. d/b/a Annunciation Radio","Other"
"WFGL","960 AM","Fitchburg","Massachusetts","Childers Media Group LLC","Country"
"WPKZ","1280 AM","Fitchburg","Massachusetts","Cumulus Licensing LLC","Country"
"WXLO","104.5 FM","Fitchburg","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WXPL","91.3 FM","Fitchburg","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBNU-LP","102.9 FM","Framingham","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WDJM-FM","91.3 FM","Framingham","Massachusetts","World Witness for Christ Ministries, Inc.","Hip-hop"
"WROR-FM","105.7 FM","Framingham","Massachusetts","Capstar TX LLC","Pop or Contemporary"
"WGAO","88.3 FM","Franklin","Massachusetts","Capstar TX LLC","Rock, Alternative, or Indie"
"WGAW","1340 AM","Gardner","Massachusetts","Citicasters Licenses, Inc.","Country"
"WBOQ","104.9 FM","Gloucester","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WSBS","860 AM","Great Barrington","Massachusetts","WRIG, Inc.","News and Talk"
"WAMQ","105.1 FM","Great Barrington","Massachusetts","LAZER BROADCASTING LLC","International"
"WBCR-LP","97.7 FM","Great Barrington","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WNNU","89.5 FM","Great Barrington","Massachusetts","Franklin Communications, Inc.","Other"
"WHMQ","1240 AM","Greenfield","Massachusetts","CC Licenses, LLC","News and Talk"
"WIZZ","1520 AM","Greenfield","Massachusetts","Citicasters Licenses, Inc.","Country"
"WHAI","98.3 FM","Greenfield","Massachusetts","Cincinnati Public Radio","News and Talk"
"WLPV-LP","107.9 FM","Greenfield","Massachusetts","WLOH Radio Company","News and Talk"
"WMCB-LP","107.9 FM","Greenfield","Massachusetts","Capstar TX LLC","News and Talk"
"WPVQ","95.3 FM","Greenfield","Massachusetts","WRVM, Inc.","Religious"
"WCCT-FM","90.3 FM","Harwich","Massachusetts","St. Peter the Rock Media","Religious"
"WFRQ","93.5 FM","Harwich Port","Massachusetts","BAS Broadcasting","Other"
"WCEC","1490 AM","Haverhill","Massachusetts","Priority Communications of Ohio, LLC.","Other"
"WHAV-LP","97.9 FM","Haverhill","Massachusetts","Cincinnati Public Radio","News and Talk"
"WHHB","99.9 FM","Holliston","Massachusetts","Heidelberg College","Other"
"WCCH","103.5 FM","Holyoke","Massachusetts","New Spirit Revival Center Ministries, Inc.","Religious"
"WREA-LP","104.9 FM","Holyoke","Massachusetts","Durand Broadcasting","Country"
"WCOD-FM","106.1 FM","Hyannis","Massachusetts","Vernon R. Baldwin, Inc.","Religious"
"WPXC","102.9 FM","Hyannis","Massachusetts","WRVM, Inc.","Religious"
"WLLH","1400 AM","Lawrence","Massachusetts","Elyria-Lorain Broadcasting Co.","Rock, Alternative, or Indie"
"WNNW","800 AM","Lawrence","Massachusetts","Franklin Communications, Inc.","Other"
"WEEI-FM","93.7 FM","Lawrence","Massachusetts","World Evangelistic Enterprise Corporation","Religious"
"WGUA-LP","98.1 FM","Lawrence","Massachusetts","Alpha Media Licensee LLC","Pop or Contemporary"
"WVNE","760 AM","Leicester","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCMX","1000 AM","Leominster","Massachusetts","Marietta College","Other"
"WLPZ-LP","95.1 FM","Leominster","Massachusetts","WLOH Radio Company","News and Talk"
"WCAP","980 AM","Lowell","Massachusetts","Garrison City Radio Group, LLC","Pop or Contemporary"
"WCRB","99.5 FM","Lowell","Massachusetts","BAS Broadcasting","Pop or Contemporary"
"WUML","91.5 FM","Lowell","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTYN","91.7 FM","Lunenburg","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WLYN","1360 AM","Lynn","Massachusetts","Citicasters Licenses, Inc.","Other"
"WCDV-LP","89.3 FM","Lynn","Massachusetts","Priority Communications of Ohio, LLC.","Other"
"WATD-FM","95.9 FM","Marshfield","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WUMT","91.7 FM","Marshfield","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHYA","101.1 FM","Mashpee","Massachusetts","La Cadena Mundial Hispana, Inc.","Other"
"WAVM","91.7 FM","Maynard","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WMFO","91.5 FM","Medford","Massachusetts","Muskingum College","Other"
"WXKS-FM","107.9 FM","Medford","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WMVX","1570 AM","Methuen","Massachusetts","Dean Miller Broadcasting Corp.","Pop or Contemporary"
"WVBF","1530 AM","Middleborough Center","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WRRS","88.5 FM","Middleborough Center","Massachusetts","Good Karma Broadcasting L.L.C.","News and Talk"
"WMRC","1490 AM","Milford","Massachusetts","Positive Radio Group, Inc. of Ohio","Other"
"WMLN-FM","91.5 FM","Milton","Massachusetts","Maple Knoll Communities, Inc.","Other"
"WAZK","97.7 FM","Nantucket","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WNCK","89.5 FM","Nantucket","Massachusetts","Citicasters Licenses, Inc.","Pop or Contemporary"
"WBSM","1420 AM","New Bedford","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WCTK","98.1 FM","New Bedford","Massachusetts","Central State University","Other"
"WJFD-FM","97.3 FM","New Bedford","Massachusetts","WJER Radio, LLC.","Other"
"WJOP-LP","96.3 FM","Newburyport","Massachusetts","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WNEF","91.7 FM","Newburyport","Massachusetts","CC Licenses, LLC","Other"
"WNTN","1550 AM","Newton","Massachusetts","Kent State University","News and Talk"
"WXKS","1200 AM","Newton","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZBC","90.3 FM","Newton","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WJJW","91.1 FM","North Adams","Massachusetts","American Family Association","Religious"
"WKGT-LP","104.7 FM","North Adams","Massachusetts","Citicasters Licenses, Inc.","Pop or Contemporary"
"WMNB-LP","107.1 FM","North Adams","Massachusetts","Citicasters Licenses, Inc.","Pop or Contemporary"
"WUPE-FM","100.1 FM","North Adams","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTKL","91.1 FM","North Dartmouth","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WUMD","89.3 FM","North Dartmouth","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHMP","1400 AM","Northampton","Massachusetts","CC Licenses, LLC","News and Talk"
"WEIB","106.3 FM","Northampton","Massachusetts","Childers Media Group LLC","Rock, Alternative, or Indie"
"WLZX-FM","99.3 FM","Northampton","Massachusetts","Citicasters Licenses, Inc.","Other"
"WOZQ","91.9 FM","Northampton","Massachusetts","Mid-West Management, Inc.","Other"
"WXOJ-LP","103.3 FM","Northampton","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYOB-LP","105.5 FM","Oak Bluff","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WJDF","97.3 FM","Orange","Massachusetts","Denny and Marge Hazen Ministries, Inc.","Religious"
"WFAT","700 AM","Orange–Athol","Massachusetts","First Family Broadcasting","Other"
"WFPB","1170 AM","Orleans","Massachusetts","Our Lady of Guadalupe Radio, Inc. d/b/a Annunciation Radio","Other"
"WFMR","91.3 FM","Orleans","Massachusetts","Blanchard River Broadcasting Company","News and Talk"
"WOCN-FM","104.7 FM","Orleans","Massachusetts","Educational Community Radio, Inc.","Other"
"WNGB","91.3 FM","Petersham","Massachusetts","CC Licenses, LLC","Other"
"WBEC","1420 AM","Pittsfield","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WBRK","1340 AM","Pittsfield","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WUPE","1110 AM","Pittsfield","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBEC-FM","95.9 FM","Pittsfield","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WBRK-FM","101.7 FM","Pittsfield","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WRRS-LP","104.3 FM","Pittsfield","Massachusetts","Good Karma Broadcasting L.L.C.","News and Talk"
"WTBR-FM","89.7 FM","Pittsfield","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WPLM","1390 AM","Plymouth","Massachusetts","Cumulus Licensing LLC","Country"
"WPLM-FM","99.1 FM","Plymouth","Massachusetts","Cumulus Licensing LLC","Country"
"WOMR","92.1 FM","Provincetown","Massachusetts","Entercom License, LLC","Other"
"WJDA","1300 AM","Quincy","Massachusetts","John Carroll University","Other"
"WRPS","88.3 FM","Rockland","Massachusetts","Baraboo Broadcasting Corp.","Pop or Contemporary"
"WWRN","88.5 FM","Rockport","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WESX","1230 AM","Salem","Massachusetts","First Family Broadcasting","Other"
"WMWM","91.7 FM","Salem","Massachusetts","Dean Miller Broadcasting Corp.","Pop or Contemporary"
"WXBJ-LP","94.1 FM","Salisbury","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WSDH","91.5 FM","Sandwich","Massachusetts","Woodward Communications, Inc.","Other"
"WSMA","90.5 FM","Scituate","Massachusetts","WPW Broadcasting, Inc.","Country"
"WBSL-FM","91.7 FM","Sheffield","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WQPH","89.3 FM","Shirley","Massachusetts","Robinson Corporation","Country"
"WMHC","91.5 FM","South Hadley","Massachusetts","Muskingum College","Other"
"WKPE-FM","103.9 FM","South Yarmouth","Massachusetts","Jackson County Broadcasting, Inc.","Pop or Contemporary"
"WESO","970 AM","Southbridge","Massachusetts","First Family Broadcasting","Other"
"WWFX","100.1 FM","Southbridge","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WACM","1270 AM","Springfield","Massachusetts","LAZER BROADCASTING LLC","International"
"WHLL","1450 AM","Springfield","Massachusetts","Citicasters Licenses, Inc.","Other"
"WHYN","560 AM","Springfield","Massachusetts","La Cadena Mundial Hispana, Inc.","Other"
"WAIC","91.9 FM","Springfield","Massachusetts","LAZER BROADCASTING LLC","International"
"WAQY","102.1 FM","Springfield","Massachusetts","New Hampshire Gospel Radio, Inc.","Religious"
"WHYN-FM","93.1 FM","Springfield","Massachusetts","La Cadena Mundial Hispana, Inc.","Other"
"WLHZ-LP","107.9 FM","Springfield","Massachusetts","Lakota Local School District","Rock, Alternative, or Indie"
"WSCB","89.9 FM","Springfield","Massachusetts","Nicolet Broadcasting, Inc.","Pop or Contemporary"
"WTCC","90.7 FM","Springfield","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZCS-LP","102.5 FM","Springfield","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WUMG","91.7 FM","Stow","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYAJ","97.7 FM","Sudbury","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WSNE-FM","93.3 FM","Taunton","Massachusetts","WPW Broadcasting, Inc.","Country"
"WVDP-LP","102.9 FM","Templeton","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBUA","92.7 FM","Tisbury","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WVVY-LP","96.7 FM","Tisbury","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WGTX","102.3 FM","Truro","Massachusetts","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WRSI","93.9 FM","Turners Falls","Massachusetts","Good Karma Broadcasting L.L.C.","News and Talk"
"WBRS","100.1 FM","Waltham","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WKLB-FM","102.5 FM","Waltham","Massachusetts","Music X-press Broadcasting Corp. of Northeast Ohio","Country"
"WARE","1250 AM","Ware","Massachusetts","New Hampshire Gospel Radio, Inc.","Religious"
"WAZN","1470 AM","Watertown","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WGFP","940 AM","Webster","Massachusetts","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WORC-FM","98.9 FM","Webster","Massachusetts","Seehafer Broadcasting Corp","Other"
"WZLY","91.5 FM","Wellesley","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WRYP","90.1 FM","Wellfleet","Massachusetts","WRVM, Inc.","Religious"
"WKKL","90.7 FM","West Barnstable","Massachusetts","CC Licenses, LLC","Country"
"WBAS","1240 AM","West Yarmouth","Massachusetts","Winnipesaukee Radio Station, LLC","Other"
"WXTK","95.1 FM","West Yarmouth","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAAF","107.3 FM","Westborough","Massachusetts","LAZER BROADCASTING LLC","International"
"WNNZ","640 AM","Westfield","Massachusetts","Franklin Communications, Inc.","Other"
"WSKB","89.5 FM","Westfield","Massachusetts","NRG License Sub, LLC","Pop or Contemporary"
"WCCV-LP","97.9 FM","Williamsburg","Massachusetts","St. Peter the Rock Media","Religious"
"WKMY","91.1 FM","Winchendon","Massachusetts","Vernon R. Baldwin, Inc.","Religious"
"WCAI","90.1 FM","Woods Hole","Massachusetts","Garrison City Radio Group, LLC","Pop or Contemporary"
"WNEB","1230 AM","Worcester","Massachusetts","CC Licenses, LLC","Other"
"WORC","1310 AM","Worcester","Massachusetts","Seehafer Broadcasting Corp","Other"
"WTAG","580 AM","Worcester","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVEI","1440 AM","Worcester","Massachusetts","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBPR","91.9 FM","Worcester","Massachusetts","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WCUW","91.3 FM","Worcester","Massachusetts","Family Radio","Religious"
"WICN","90.5 FM","Worcester","Massachusetts","La Cadena Mundial Hispana, Inc.","Other"
"WSRG-LP","106.1 FM","Worcester","Massachusetts","Muzzy Broadcast Group, LLC","Other"
"WSRS","96.1 FM","Worcester","Massachusetts","Muzzy Broadcast Group, LLC","Other"
"WPRR","1680 AM","Ada","Michigan","Robinson Corporation","Other"
"WQAR-LP","95.7 FM","Addison","Michigan","WRVM, Inc.","Religious"
"WABJ","1490 AM","Adrian","Michigan","LAZER BROADCASTING LLC","International"
"WLEN","103.9 FM","Adrian","Michigan","BAS Broadcasting","Other"
"WQTE","95.3 FM","Adrian","Michigan","Seehafer Broadcasting Corporation","Rock, Alternative, or Indie"
"WVAC-FM","107.9 FM","Adrian","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WUFN","96.7 FM","Albion","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WQXC-FM","100.9 FM","Allegan","Michigan","Seehafer Broadcasting Corporation","Rock, Alternative, or Indie"
"WGVU-FM","88.5 FM","Allendale","Michigan","Cincinnati Public Radio","News and Talk"
"WFYC","1280 AM","Alma","Michigan","Capstar TX LLC","Rock, Alternative, or Indie"
"WQAC","90.9 FM","Alma","Michigan","WRVM, Inc.","Religious"
"WQBX","104.9 FM","Alma","Michigan","WRVM, Inc.","Religious"
"WATZ-FM","99.3 FM","Alpena","Michigan","Winnipesaukee Radio Station, LLC","Other"
"WCML-FM","91.7 FM","Alpena","Michigan","AVC Communications, Inc.","Pop or Contemporary"
"WGZR","88.9 FM","Alpena","Michigan","Cincinnati Public Radio","News and Talk"
"WHSB","107.7 FM","Alpena","Michigan","Our Lady of Guadalupe Radio, Inc., dba Annunciation Radio","Religious"
"WZTK","105.7 FM","Alpena","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAAM","1600 AM","Ann Arbor","Michigan","LAZER BROADCASTING LLC","International"
"WTKA","1050 AM","Ann Arbor","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCBN-FM","88.3 FM","Ann Arbor","Michigan","Garrison City Radio Group, LLC","Pop or Contemporary"
"WEGV-LP","102.3 FM","Ann Arbor","Michigan","Childers Media Group LLC","Rock, Alternative, or Indie"
"WQKL","107.1 FM","Ann Arbor","Michigan","Case Communications LLC","Other"
"WUOM","91.7 FM","Ann Arbor","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WWWW-FM","102.9 FM","Ann Arbor","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WJSZ","92.5 FM","Ashley","Michigan","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WFDX","92.5 FM","Atlanta","Michigan","Lancaster Educational Broadcasting","Religious"
"WAHS","89.5 FM","Auburn Hills","Michigan","LAZER BROADCASTING LLC","International"
"WXOU","88.3 FM","Auburn Hills","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WLEW","1340 AM","Bad Axe","Michigan","BAS Broadcasting","Other"
"WLEW-FM","102.1 FM","Bad Axe","Michigan","BAS Broadcasting","Other"
"WVCN","104.3 FM","Baraga","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBFN","1400 AM","Battle Creek","Michigan","Winnipesaukee Radio Station, LLC","Other"
"WTOU","930 AM","Battle Creek","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBCK","95.3 FM","Battle Creek","Michigan","Winnipesaukee Radio Station, LLC","Other"
"WFPM-LP","99.5 FM","Battle Creek","Michigan","Our Lady of Guadalupe Radio, Inc. d/b/a Annunciation Radio","Other"
"WGPG-LP","92.9 FM","Battle Creek","Michigan","Bible Broadcasting, Inc.","Religious"
"WKFR-FM","103.3 FM","Battle Creek","Michigan","Elyria-Lorain Broadcasting Co.","Country"
"WMAX","1440 AM","Bay City","Michigan","Capstar TX LLC","News and Talk"
"WCHW-FM","91.3 FM","Bay City","Michigan","Citicasters Licenses, Inc.","Country"
"WHNN","96.1 FM","Bay City","Michigan","CC Licenses, LLC","News and Talk"
"WIOG","102.5 FM","Bay City","Michigan","Pinebrook Corporation","Religious"
"WLKB","89.1 FM","Bay City","Michigan","Lakota Local School District","Rock, Alternative, or Indie"
"WUCX-FM","90.1 FM","Bay City","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTLI","89.3 FM","Bear Creek Township","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCUZ","100.1 FM","Bear Lake","Michigan","Family Radio","Religious"
"WVBI-LP","100.1 FM","Beaver Island","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WMRX-FM","97.7 FM","Beaverton","Michigan","Marietta College","Other"
"WDLP-LP","93.1 FM","Belding","Michigan","D.A. Peterson, Inc.","Pop or Contemporary"
"WSLI","90.9 FM","Belding","Michigan","WPW Broadcasting, Inc.","Country"
"WBHC-LP","96.5 FM","Benton Harbor","Michigan","Winnipesaukee Radio Station, LLC","Other"
"WCXB","89.9 FM","Benton Harbor","Michigan","Centerville City Board of Education","Rock, Alternative, or Indie"
"WQLQ","99.9 FM","Benton Harbor","Michigan","Cumulus Licensing LLC","Pop or Contemporary"
"WSJM-FM","94.9 FM","Benton Harbor","Michigan","Sheboygan Area School District","Other"
"WVBH-LP","105.3 FM","Benton Harbor","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHFB","1060 AM","Benton Harbor–St. Joseph","Michigan","Heidelberg College","Other"
"WAUS","90.7 FM","Berrien Springs","Michigan","Winnipesaukee Radio Station, LLC","Other"
"WSFT-LP","105.5 FM","Berrien Springs","Michigan","Radio Plus Bay Cities, LLC","Pop or Contemporary"
"WOUF","99.3 FM","Beulah","Michigan","Results Broadcasting, Inc.","Other"
"WBRN","1460 AM","Big Rapids","Michigan","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WBZX","103.9 FM","Big Rapids","Michigan","Garrison City Radio Group, LLC","Pop or Contemporary"
"WWBR","100.9 FM","Big Rapids","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYBR","102.3 FM","Big Rapids","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCSX","94.7 FM","Birmingham","Michigan","Central State University","Other"
"WBFH","88.1 FM","Bloomfield Hills","Michigan","Winnipesaukee Radio Station, LLC","Other"
"WBCM","93.5 FM","Boyne City","Michigan","Winnipesaukee Radio Station, LLC","Other"
"WHHQ","1250 AM","Bridgeport","Michigan","Heidelberg College","Other"
"WYTZ","97.5 FM","Bridgman","Michigan","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCVM","94.7 FM","Bronson","Michigan","Educational Media Foundation","Religious"
"WKHM-FM","105.3 FM","Brooklyn","Michigan","Citicasters Licenses, Inc.","Pop or Contemporary"
"WSMK","99.1 FM","Buchanan","Michigan","WPW Broadcasting, Inc.","Country"
